11x8

# First block

0,0: +3
1,0: +2
2,0: +1
3,0: +2
4,0: +3

0,1: +1
2,1: +2
4,1: +1

0,2: +1
1,2: +2
2,2: +3
3,2: +2
4,2: +1

0,3: +2
2,3: +1
4,3: *2

0,4: +2
1,4: +3
2,4: +3
3,4: *2
4,4: +1

0,5: +1
2,5: +2
4,5: +3

0,6: +1
1,6: +1
2,6: +1
3,6: +1
4,6: +1

# Second block

6,1: +4
7,1: +1
8,1: +1
9,1: +2
10,1: +1

6,2: +3
8,2: +4
10,2: +3

6,3: +1
7,3: +2
8,3: *2
9,3: +2
10,3: +2

6,4: +2
8,4: +1
10,4: +1

6,5: +3
7,5: +6
8,5: +3
9,5: +1
10,5: +2

6,6: +2
8,6: +2
10,6: +4

6,7: +1
7,7: +5
8,7: +1
9,7: +1
10,7: +4
--
row_0: total_7
row_1: total_7
row_1: count_4
row_2: count_5
rowrev_2: total_9
row_3: total_10
rowrev_3: total_10
row_4: total_10
rowrev_4: total_11
row_5: total_12
row_5: count_4
rowrev_6: total_10
col_0: total_7
col_1: count_3
col_2: total_3
col_4: total_6
col_6: total_10
col_8: total_8
col_10: total_7
count_13: 1,0 2,0 3,0 4,0 2,1 4,1 1,2 2,2 3,2 4,2 2,3 4,3 1,4 2,4 3,4 4,4 2,5 4,5 1,6 2,6 3,6 4,6
total_16: 6,1 7,1 6,2 6,3 7,3 6,4 6,5 7,5 6,6 6,7 7,7
total_11: 9,1 10,1 10,2 9,3 10,3 10,4 9,5 10,5 10,6 9,7 10,7
